%time,field.data
1557305790781903592,2.21
1557305790790405715,2.21
1557305790798711612,2.21
1557305790810736655,2.21
1557305790819139901,2.21
1557305790831268799,2.0
1557305790839437334,2.0
1557305790851509179,2.0
1557305790860057982,2.0
1557305790868219162,2.0
1557305790880401791,2.0
1557305790888872000,2.0
1557305790900960078,2.0
1557305790909073810,2.0
1557305790921603624,2.0
1557305790929475898,2.21
1557305790941845589,2.21
1557305790950209415,2.21
1557305790958303414,2.21
1557305790970589493,2.21
1557305790978882128,2.21
1557305790991038640,2.21
1557305790999236975,2.21
1557305791011628777,2.21
1557305791019611303,2.21
1557305791031857864,2.0
1557305791040225653,2.0
1557305791048296773,2.0
1557305791060796089,2.0
1557305791068912356,2.0
1557305791081057849,2.0
1557305791089350076,2.0
1557305791101494736,2.0
1557305791109988304,2.0
1557305791122134989,2.0
1557305791130336015,2.21
1557305791138468222,2.21
1557305791150694708,2.21
1557305791159139407,2.21
1557305791171319415,2.21
1557305791179371572,2.21
1557305791191752505,2.21
1557305791200000938,2.21
1557305791208194010,2.21
1557305791220551020,2.21
1557305791228741237,2.0
1557305791241023336,2.0
1557305791249116399,2.0
1557305791261621773,2.0
1557305791269681631,2.0
1557305791281868878,2.0
1557305791290216249,2.0
1557305791298165600,2.0
1557305791310587628,2.0
1557305791319334830,2.0
1557305791330995501,2.21
1557305791339269125,2.21
1557305791351547342,2.21
1557305791359659465,2.21
1557305791371755305,2.21
1557305791380171230,2.21
1557305791388319673,2.21
1557305791400597671,2.21
1557305791408845723,2.21
1557305791421192782,2.21
1557305791429349547,2.21
1557305791441856487,2.21
1557305791449830742,2.21
1557305791462321931,2.21
1557305791470465835,2.21
1557305791478736241,2.21
1557305791490610360,2.21
1557305791499023329,2.21
1557305791511193892,2.21
1557305791519470323,2.21
1557305791531782166,2.0
1557305791539926261,2.0
1557305791548239273,2.0
1557305791560721331,2.0
1557305791568832590,2.0
1557305791580732279,2.0
1557305791589003467,2.0
1557305791601257337,2.0
1557305791609480439,2.0
1557305791621753714,2.0
1557305791629992629,2.21
1557305791638124554,2.21
1557305791650465462,2.21
1557305791658845999,2.21
1557305791671040648,2.21
1557305791679144307,2.21
1557305791691410695,2.21
1557305791699651723,2.21
1557305791711782029,2.21
1557305791720311108,2.21
1557305791728219101,2.0
1557305791741086000,2.0
1557305791748996443,2.0
1557305791761302017,2.0
1557305791769182071,2.0
1557305791781560739,2.0
1557305791789720002,2.0
1557305791801903951,2.0
1557305791810487390,2.0
1557305791818562007,2.0
1557305791830636959,2.21
1557305791839056915,2.21
1557305791851064983,2.21
1557305791859369865,2.21
1557305791871804763,2.21
1557305791879832387,2.21
1557305791892182680,2.21
1557305791900413894,2.21
1557305791908519485,2.21
1557305791921034036,2.21
1557305791929092813,2.21
1557305791941348837,2.21
1557305791949578000,2.21
1557305791961780516,2.21
1557305791970153178,2.21
1557305791978264866,2.21
1557305791990531127,2.21
1557305791998804104,2.21
1557305792010913142,2.21
1557305792019123952,2.21
1557305792031679360,2.0
1557305792039586352,2.0
1557305792051782184,2.0
1557305792060281373,2.0
1557305792068373978,2.0
1557305792080818585,2.0
1557305792088810200,2.0
1557305792101081251,2.0
1557305792109197119,2.0
1557305792121999295,2.0
1557305792129662001,2.21
1557305792142081539,2.21
1557305792150259652,2.21
1557305792158489995,2.21
1557305792170750672,2.21
1557305792179371785,2.21
1557305792191135667,2.21
1557305792199323086,2.21
1557305792211620993,2.21
1557305792219778785,2.21
1557305792232038595,2.21
1557305792240572814,2.21
1557305792248727392,2.21
1557305792261023363,2.21
1557305792269296587,2.21
1557305792281190493,2.21
1557305792289264903,2.21
1557305792301841019,2.21
1557305792310080150,2.21
1557305792318048049,2.21
1557305792330561743,2.21
1557305792338779202,2.21
1557305792350937686,2.21
1557305792359525574,2.21
1557305792371453030,2.21
1557305792379680229,2.21
1557305792391886473,2.21
1557305792400042521,2.21
1557305792408230982,2.21
1557305792420751782,2.21
1557305792428704641,2.21
1557305792441370532,2.21
1557305792449450638,2.21
1557305792461537221,2.21
1557305792469825057,2.21
1557305792482167166,2.21
1557305792490224795,2.21
1557305792498309836,2.21
1557305792510705289,2.21
1557305792518947592,2.21
1557305792531234621,2.21
1557305792539523473,2.21
1557305792551618855,2.21
1557305792559906016,2.21
1557305792571908548,2.21
1557305792580325927,2.21
1557305792588464122,2.21
1557305792600788865,2.21
1557305792609054228,2.21
1557305792621422157,2.21
1557305792629495446,2.0
1557305792641824996,2.0
1557305792649816437,2.0
1557305792662059040,2.0
1557305792670503783,2.0
1557305792678499692,2.0
1557305792690743082,2.0
1557305792699039851,2.0
1557305792711363472,2.0
1557305792719525555,2.0
1557305792731999627,2.21
1557305792740147448,2.21
1557305792748158617,2.21
1557305792760751998,2.21
1557305792768758824,2.21
1557305792781132821,2.21
1557305792789288592,2.21
1557305792801307369,2.21
1557305792809592802,2.21
1557305792821914677,2.21
1557305792830166718,2.41
1557305792838325445,2.41
1557305792850897079,2.41
1557305792858708169,2.41
1557305792871318742,2.41
1557305792879418470,2.41
1557305792891599788,2.41
1557305792899635396,2.41
1557305792911973029,2.41
1557305792920494772,2.41
1557305792928481755,2.21
1557305792940922353,2.21
1557305792948975386,2.21
1557305792961279961,2.21
1557305792969432261,2.21
1557305792981707932,2.21
1557305792989900090,2.21
1557305793002054545,2.21
1557305793010436275,2.21
1557305793018666635,2.21
1557305793031066966,2.21
1557305793039162177,2.21
1557305793051487495,2.21
1557305793059628425,2.21
1557305793071803065,2.21
1557305793080105744,2.21
1557305793088037128,2.21
1557305793100408805,2.21
1557305793108541951,2.21
1557305793121120014,2.21
1557305793129183938,2.21
1557305793141696280,2.21
1557305793149676577,2.21
1557305793161979736,2.21
1557305793170074122,2.21
1557305793178389351,2.21
1557305793190626428,2.21
1557305793198829066,2.21
1557305793211157633,2.21
1557305793219317836,2.21
1557305793231614029,2.21
1557305793239685905,2.21
1557305793252020282,2.21
1557305793260326798,2.21
1557305793268892536,2.21
1557305793280802378,2.21
1557305793288900209,2.21
1557305793301132212,2.21
1557305793309546157,2.21
1557305793321768673,2.21
1557305793330028992,2.21
